Student Name,Student ID,Course Number,Course Name,Marked At-Risk,Progress Report Grade,Progress Report Number of Absences,Alert Reasons,Progress Report Comment
"Johnson, Morgan",Z10000036,PSY2012,General Psychology,1,F,0,Low Exam Scores,
"Johnson, Morgan",Z10000036,CHM2045,General Chemistry I,1,D+,12,No Show,
"Lee, Alex",Z10000037,BSC1010,Biological Principles,TRUE,D-,8,Excessive Absences,Student has not responded to outreach.
"Lee, Alex",Z10000037,STA2023,Introductory Statistics,TRUE,W,7,In Danger of Failing; Excessive Absences,
"Lee, Alex",Z10000037,HIS1010,Western Civilization,TRUE,D+,3,Excessive Absences,Student has not responded to outreach.
"Miller, Morgan",Z10000038,STA2023,Introductory Statistics,True,D-,4,No Show,
"Miller, Morgan",Z10000038,ECO2013,Macroeconomics,True,C-,4,Missing Assignments,Referred to tutoring center.
"Miller, Morgan",Z10000038,CHM2045,General Chemistry I,True,W,1,In Danger of Failing; Excessive Absences,"Spoke with student, aware of situation."
"Miller, Fatima",Z10000039,SLS1501,Student Success Strategies,true,D,6,In Danger of Failing,
"Miller, Fatima",Z10000039,ECO2013,Macroeconomics,true,C-,8,In Danger of Failing; Excessive Absences,Student has not responded to outreach.
"Miller, Fatima",Z10000039,STA2023,Introductory Statistics,true,D-,10,No Show,Student has not responded to outreach.
"Lopez, Jordan",Z10000040,SLS1501,Student Success Strategies,Yes,F,1,In Danger of Failing,"Spoke with student, aware of situation."
"Lopez, Jordan",Z10000040,PSY2012,General Psychology,Yes,D,9,Excessive Absences,"Spoke with student, aware of situation."
"Lopez, Jordan",Z10000040,CHM2045,General Chemistry I,Yes,D-,0,Low Exam Scores,
"Garcia, Peyton",Z10000041,STA2023,Introductory Statistics,Y,D-,0,Missing Assignments,"Spoke with student, aware of situation."
"Perez, Avery",Z10000042,COP2210,Programming I,1,F,10,In Danger of Failing; Excessive Absences,Student has not responded to outreach.
"Perez, Avery",Z10000042,SLS1501,Student Success Strategies,1,W,11,No Show,
"Nguyen, Wei",Z10000043,ENC1101,College Writing I,TRUE,W,5,Low Exam Scores,Student has not responded to outreach.
"Rodriguez, Carlos",Z10000044,PSY2012,General Psychology,True,W,9,In Danger of Failing,
"Rodriguez, Carlos",Z10000044,BSC1010,Biological Principles,True,D,10,Excessive Absences,
"Anderson, Hayden",Z10000045,CHM2045,General Chemistry I,true,D+,3,In Danger of Failing; Excessive Absences,Referred to tutoring center.
"Wilson, Casey",Z10000046,MAC1105,College Algebra,Yes,C-,2,In Danger of Failing; Excessive Absences,Referred to tutoring center.
"Wilson, Casey",Z10000046,CHM2045,General Chemistry I,Yes,C-,4,In Danger of Failing; Excessive Absences,Referred to tutoring center.
"Wilson, Casey",Z10000046,ENC1101,College Writing I,Yes,W,0,Missing Assignments,
"Nguyen, Riley",Z10000047,SLS1501,Student Success Strategies,Y,D-,11,Missing Assignments,Student has not responded to outreach.
"Nguyen, Riley",Z10000047,COP2210,Programming I,Y,D-,0,Low Exam Scores,Referred to tutoring center.
"Nguyen, Riley",Z10000047,MAC1105,College Algebra,Y,D,7,Missing Assignments,
"Martinez, Morgan",Z10000048,ECO2013,Macroeconomics,1,D,10,Missing Assignments,Referred to tutoring center.
"Martinez, Morgan",Z10000048,COP2210,Programming I,1,F,12,In Danger of Failing,
"Martinez, Morgan",Z10000048,BSC1010,Biological Principles,1,D,7,Excessive Absences,
"Nguyen, Carlos",Z10000049,BSC1010,Biological Principles,TRUE,D,2,Missing Assignments,
"Nguyen, Carlos",Z10000049,ENC1101,College Writing I,TRUE,D+,8,In Danger of Failing,
"Nguyen, Carlos",Z10000049,ECO2013,Macroeconomics,TRUE,D,7,Excessive Absences,Referred to tutoring center.
"Martinez, Jordan",Z10000050,CHM2045,General Chemistry I,True,F,7,Low Exam Scores,
"Martinez, Jordan",Z10000050,ECO2013,Macroeconomics,True,W,5,Excessive Absences,Student has not responded to outreach.
"Martinez, Jordan",Z10000050,SLS1501,Student Success Strategies,True,C-,2,No Show,
"Davis, Riley",Z10000051,BSC1010,Biological Principles,true,F,12,Low Exam Scores,Referred to tutoring center.
"Davis, Riley",Z10000051,STA2023,Introductory Statistics,true,W,10,Missing Assignments,Student has not responded to outreach.
"Davis, Riley",Z10000051,HIS1010,Western Civilization,true,F,4,In Danger of Failing; Excessive Absences,Referred to tutoring center.
"Anderson, Dimitri",Z10000052,HIS1010,Western Civilization,Yes,D+,9,Missing Assignments,"Spoke with student, aware of situation."
"Anderson, Dimitri",Z10000052,MAC1105,College Algebra,Yes,D,12,Excessive Absences,Referred to tutoring center.
"Anderson, Dimitri",Z10000052,ENC1101,College Writing I,Yes,D,6,Missing Assignments,
"Jones, Morgan",Z10000053,CHM2045,General Chemistry I,Y,F,3,Low Exam Scores,"Spoke with student, aware of situation."
"Jones, Morgan",Z10000053,ENC1101,College Writing I,Y,F,8,Missing Assignments,
"Jones, Morgan",Z10000053,HIS1010,Western Civilization,Y,F,0,In Danger of Failing,Referred to tutoring center.
"Garcia, Avery",Z10000054,CHM2045,General Chemistry I,1,C-,1,Excessive Absences,Student has not responded to outreach.
"Garcia, Avery",Z10000054,PSY2012,General Psychology,1,F,5,In Danger of Failing,
"Garcia, Avery",Z10000054,COP2210,Programming I,1,F,4,Excessive Absences,Referred to tutoring center.
"Davis, Skylar",Z10000055,STA2023,Introductory Statistics,TRUE,W,4,Missing Assignments,
"Davis, Skylar",Z10000055,SLS1501,Student Success Strategies,TRUE,F,12,In Danger of Failing,
"Davis, Skylar",Z10000055,PSY2012,General Psychology,TRUE,F,11,Excessive Absences,
"Martinez, Drew",Z10000056,HIS1010,Western Civilization,True,W,9,In Danger of Failing; Excessive Absences,Referred to tutoring center.
"Lee, Hayden",Z10000057,PSY2012,General Psychology,true,C-,11,In Danger of Failing; Excessive Absences,"Spoke with student, aware of situation."
"Lee, Hayden",Z10000057,STA2023,Introductory Statistics,true,D-,5,Low Exam Scores,"Spoke with student, aware of situation."
"Lee, Hayden",Z10000057,ENC1101,College Writing I,true,C-,7,Excessive Absences,
"Nguyen, Casey",Z10000058,ENC1101,College Writing I,Yes,F,11,Excessive Absences,
"Nguyen, Casey",Z10000058,MAC1105,College Algebra,Yes,D,1,In Danger of Failing; Excessive Absences,"Spoke with student, aware of situation."
"Martinez, Alex",Z10000059,BSC1010,Biological Principles,Y,F,5,In Danger of Failing,
"Martinez, Alex",Z10000059,STA2023,Introductory Statistics,Y,D+,6,No Show,Student has not responded to outreach.
"Brown, Wei",Z10000060,PSY2012,General Psychology,1,D-,11,In Danger of Failing; Excessive Absences,
"Garcia, Hayden",Z10000014,HIS1010,Western Civilization,FALSE,B,1,,
"Anderson, Cameron",Z10000033,COP2210,Programming I,FALSE,B,1,,
"Hernandez, Nadia",Z10000004,SLS1501,Student Success Strategies,FALSE,B,1,,
"Wilson, Casey",Z10000046,ENC1101,College Writing I,FALSE,B,1,,
"Lopez, Jordan",Z10000040,SLS1501,Student Success Strategies,FALSE,B,1,,
"Brown, Nadia",Z10000002,ENC1101,College Writing I,FALSE,B,1,,
"Martinez, Morgan",Z10000048,STA2023,Introductory Statistics,FALSE,B,1,,
"Nguyen, Carlos",Z10000049,HIS1010,Western Civilization,FALSE,B,1,,
"Williams, Carlos",Z10000027,STA2023,Introductory Statistics,FALSE,B,1,,
"Lee, Alex",Z10000037,BSC1010,Biological Principles,FALSE,B,1,,
"Davis, Riley",Z10000029,HIS1010,Western Civilization,FALSE,B,1,,
"Jones, Maria",Z10000030,MAC1105,College Algebra,FALSE,B,1,,
